,actual,predicted,residual
517,8120,6646.056701030928,1473.9432989690722
90,2227,2115.936170212766,111.06382978723423
336,3614,3252.840909090909,361.159090909091
596,6530,5814.900552486188,715.0994475138123
69,1977,2115.936170212766,-138.93617021276577
210,4475,4426.366666666667,48.63333333333321
131,4864,4261.04255319149,602.9574468085102
44,1913,2947.9701492537315,-1034.9701492537315
70,2132,2180.8230088495575,-48.82300884955748
404,3830,2954.96875,875.03125
390,4075,2954.96875,1120.03125
218,3785,4351.264150943396,-566.2641509433961
135,3958,4163.788732394366,-205.78873239436598
260,4274,4261.04255319149,12.957446808510213
